YEAR,gender,age,age_group,education,employment_type,employment_status,occupation,industry,company_size,work_hours,shift_work,night_work,physical_risk1,physical_risk2,physical_risk3,physical_risk4,physical_risk5,physical_risk6,physical_risk7,physical_risk8,physical_risk9,ergonomic_risk1,ergonomic_risk2,ergonomic_risk3,ergonomic_risk4,ergonomic_risk5,ergonomic_risk6,psychosocial_risk1,psychosocial_risk2,psychosocial_risk3,health_condition,work_related_disease,injury_absence_days,illness_absence_days,presenteeism,sleep_quality1,sleep_quality2,sleep_quality3,well_being,working_years,safety_training,training_participation
2023,1,62,60,4.0,1.0,,7,19,,50.0,,,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,5.0,6.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,,,2.0,4.0,4.0,4.0,2.0,15.0,3.0,
2023,1,62,60,4.0,3.0,1.0,9,12,,60.0,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,2.0,,,2.0,4.0,4.0,4.0,5.0,5.0,2.0,2.0
2023,2,58,50,4.0,3.0,1.0,9,7,,40.0,,,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,1.0,6.0,7.0,1.0,1.0,2.0,3.0,2.0,,,2.0,3.0,3.0,3.0,3.0,7.0,3.0,2.0
2023,1,58,50,4.0,3.0,1.0,7,7,,40.0,,,2.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,3.0,5.0,6.0,7.0,7.0,7.0,2.0,2.0,,,2.0,4.0,5.0,4.0,3.0,10.0,2.0,2.0
2023,1,66,60,4.0,3.0,1.0,8,3,,40.0,,,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,2.0,7.0,7.0,7.0,2.0,2.0,,,2.0,5.0,4.0,5.0,1.0,4.0,2.0,2.0
2023,2,61,60,4.0,3.0,1.0,9,7,,20.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,4.0,7.0,7.0,1.0,2.0,,,7.0,5.0,4.0,4.0,2.0,,2.0,2.0
2023,1,60,60,4.0,3.0,1.0,8,3,,40.0,,,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,7.0,3.0,7.0,7.0,7.0,1.0,2.0,,,2.0,5.0,4.0,5.0,2.0,3.0,1.0,2.0
2023,1,63,60,4.0,3.0,1.0,8,12,,45.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,1.0,7.0,7.0,2.0,2.0,,,7.0,4.0,5.0,5.0,2.0,3.0,1.0,2.0
2023,1,63,60,4.0,2.0,,8,19,,10.0,,,3.0,3.0,5.0,4.0,3.0,4.0,5.0,7.0,4.0,4.0,6.0,4.0,2.0,6.0,4.0,3.0,6.0,6.0,3.0,1.0,,,2.0,4.0,4.0,3.0,5.0,5.0,3.0,
2023,2,60,60,4.0,3.0,1.0,9,14,,8.0,2.0,,5.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,5.0,7.0,5.0,2.0,6.0,5.0,6.0,6.0,6.0,3.0,1.0,,,2.0,4.0,4.0,4.0,6.0,3.0,3.0,2.0
2023,1,67,60,4.0,3.0,3.0,7,6,,60.0,,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,1.0,7.0,2.0,6.0,6.0,5.0,3.0,2.0,,,2.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0
2023,2,50,50,4.0,4.0,,7,3,,55.0,,,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,6.0,5.0,2.0,2.0,4.0,7.0,6.0,3.0,2.0,,,7.0,4.0,5.0,4.0,2.0,18.0,2.0,
2023,1,61,60,4.0,1.0,,7,3,,60.0,,,3.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,5.0,4.0,4.0,4.0,7.0,7.0,7.0,2.0,2.0,,,2.0,4.0,5.0,4.0,3.0,15.0,2.0,
2023,2,55,50,4.0,4.0,,7,3,,60.0,,,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,2.0,3.0,4.0,7.0,7.0,3.0,2.0,,,2.0,4.0,4.0,4.0,3.0,10.0,2.0,
2023,2,63,60,4.0,1.0,,7,3,,72.0,,,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,5.0,6.0,2.0,3.0,6.0,7.0,7.0,3.0,2.0,,,1.0,4.0,3.0,4.0,3.0,30.0,3.0,
2023,1,32,30,6.0,3.0,1.0,9,19,,52.0,,,5.0,6.0,3.0,7.0,5.0,5.0,7.0,6.0,7.0,3.0,7.0,6.0,2.0,6.0,3.0,3.0,6.0,6.0,2.0,2.0,,,2.0,4.0,5.0,4.0,2.0,1.0,2.0,2.0
2023,1,60,60,4.0,2.0,,7,3,,60.0,,,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,3.0,4.0,4.0,7.0,7.0,3.0,2.0,,,2.0,4.0,5.0,4.0,2.0,15.0,3.0,
2023,1,59,50,4.0,3.0,1.0,7,19,,50.0,,,4.0,5.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,2.0,6.0,6.0,4.0,6.0,7.0,2.0,2.0,,,2.0,5.0,5.0,4.0,3.0,12.0,2.0,2.0
2023,1,72,60,4.0,3.0,1.0,9,14,,55.0,1.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,7.0,1.0,3.0,4.0,4.0,,,,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0
2023,2,66,60,4.0,3.0,2.0,9,14,,30.0,,,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,6.0,2.0,6.0,3.0,5.0,6.0,6.0,3.0,2.0,,,2.0,4.0,3.0,2.0,4.0,,2.0,2.0
2023,2,60,60,4.0,3.0,2.0,9,9,3.0,30.0,2.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,7.0,5.0,2.0,6.0,2.0,5.0,7.0,6.0,3.0,1.0,,,1.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0
2023,1,26,20,6.0,3.0,1.0,7,4,3.0,40.0,,,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0,7.0,7.0,2.0,2.0,,,2.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0
2023,1,59,50,4.0,3.0,1.0,8,3,,67.0,,,2.0,2.0,2.0,2.0,7.0,4.0,7.0,5.0,7.0,5.0,7.0,3.0,3.0,6.0,5.0,7.0,7.0,5.0,4.0,2.0,,,2.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0
2023,1,72,60,4.0,2.0,,7,7,,60.0,,,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,4.0,6.0,3.0,7.0,7.0,3.0,1.0,,,2.0,4.0,3.0,4.0,4.0,25.0,2.0,
